PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Pascal Siakam,TOR,12/07/2018,TOR @ BKN,L,37,16,6,15,40,1,3,33.3,3,4,75,1,5,6,2,1,2,1,2,2
Pascal Siakam,TOR,12/05/2018,TOR vs. PHI,W,31,6,3,8,37.5,0,0,-,0,0,-,5,3,8,6,1,0,0,4,2
Pascal Siakam,TOR,12/03/2018,TOR vs. DEN,L,29,14,7,10,70,0,2,0,0,0,-,1,5,6,7,2,0,3,2,-1
Pascal Siakam,TOR,12/01/2018,TOR @ CLE,W,33,15,6,11,54.5,0,2,0,3,4,75,0,5,5,5,0,0,3,4,14
Pascal Siakam,TOR,11/29/2018,TOR vs. GSW,W,42,26,8,10,80,3,4,75,7,8,87.5,0,2,2,1,0,1,1,3,7
Pascal Siakam,TOR,11/27/2018,TOR @ MEM,W,31,10,3,5,60,0,1,0,4,6,66.7,1,5,6,4,0,1,1,4,10
Pascal Siakam,TOR,11/25/2018,TOR vs. MIA,W,31,21,8,9,88.9,1,1,100,4,4,100,1,5,6,3,2,2,1,1,25
Pascal Siakam,TOR,11/23/2018,TOR vs. WAS,W,26,7,2,5,40,1,1,100,2,2,100,0,8,8,3,0,1,1,4,4
Pascal Siakam,TOR,11/21/2018,TOR @ ATL,W,32,22,9,13,69.2,1,3,33.3,3,5,60,1,3,4,2,2,0,1,2,19
Pascal Siakam,TOR,11/20/2018,TOR @ ORL,W,34,15,7,11,63.6,0,2,0,1,1,100,1,8,9,1,1,1,2,5,1
Pascal Siakam,TOR,11/17/2018,TOR @ CHI,W,29,12,4,10,40,0,2,0,4,4,100,1,7,8,5,1,1,1,2,30
Pascal Siakam,TOR,11/16/2018,TOR @ BOS,L,39,16,6,11,54.5,0,0,-,4,6,66.7,3,6,9,4,2,0,2,6,-2
Pascal Siakam,TOR,11/14/2018,TOR vs. DET,L,29,17,8,12,66.7,1,1,100,0,1,0,2,5,7,2,1,1,1,4,0
Pascal Siakam,TOR,11/12/2018,TOR vs. NOP,L,28,22,8,12,66.7,2,4,50,4,4,100,0,3,3,1,1,3,0,5,-10
Pascal Siakam,TOR,11/10/2018,TOR vs. NYK,W,28,23,6,7,85.7,3,4,75,8,9,88.9,1,2,3,2,0,0,2,3,8
Pascal Siakam,TOR,11/07/2018,TOR @ SAC,W,35,21,8,11,72.7,0,2,0,5,5,100,1,2,3,1,2,0,1,3,2
Pascal Siakam,TOR,11/05/2018,TOR @ UTA,W,31,16,7,11,63.6,0,2,0,2,2,100,1,6,7,2,1,0,2,2,25
Pascal Siakam,TOR,11/04/2018,TOR @ LAL,W,35,16,8,14,57.1,0,1,0,0,0,-,5,8,13,3,1,0,2,2,25
Pascal Siakam,TOR,11/02/2018,TOR @ PHX,W,27,10,4,5,80,0,0,-,2,4,50,1,4,5,1,1,0,0,2,7
Pascal Siakam,TOR,10/30/2018,TOR vs. PHI,W,33,15,6,8,75,0,1,0,3,4,75,1,14,15,2,3,0,3,3,24
Pascal Siakam,TOR,10/29/2018,TOR @ MIL,L,33,22,10,16,62.5,0,4,0,2,3,66.7,2,6,8,2,4,1,2,2,-11
Pascal Siakam,TOR,10/26/2018,TOR vs. DAL,W,37,10,4,8,50,0,2,0,2,2,100,1,6,7,3,1,0,3,3,11
Pascal Siakam,TOR,10/24/2018,TOR vs. MIN,W,20,9,4,6,66.7,1,1,100,0,1,0,2,2,4,3,1,2,0,3,7
Pascal Siakam,TOR,10/22/2018,TOR vs. CHA,W,20,4,2,4,50,0,1,0,0,0,-,1,4,5,2,0,0,2,3,16
Pascal Siakam,TOR,10/20/2018,TOR @ WAS,W,26,10,4,8,50,1,1,100,1,3,33.3,4,6,10,2,1,1,2,6,9
Pascal Siakam,TOR,10/19/2018,TOR vs. BOS,W,18,4,2,6,33.3,0,2,0,0,0,-,0,5,5,2,0,0,2,1,0
Pascal Siakam,TOR,10/17/2018,TOR vs. CLE,W,20,13,6,8,75,1,1,100,0,0,-,0,2,2,2,0,1,0,2,11
OG Anunoby,TOR,04/09/2019,TOR @ MIN,W,18,9,4,6,66.7,1,2,50,0,0,-,1,4,5,2,0,0,2,2,24
OG Anunoby,TOR,04/07/2019,TOR vs. MIA,W,17,0,0,4,0,0,2,0,0,0,-,1,1,2,1,1,0,2,1,-22
OG Anunoby,TOR,04/05/2019,TOR @ CHA,L,16,4,1,4,25,0,3,0,2,2,100,0,0,0,0,1,0,0,0,-4
